user_id,track_id,artist,rating
2,51,duran duran,3.9289
2,52,morcheeba,3.8719
2,53,air,3.8622
2,54,hooverphonic,3.83
2,55,kylie minogue,3.7847
2,56,daft punk,3.6594
2,57,thievery corporation,3.6486
2,58,goldfrapp,3.5643
2,59,new order,3.5437
2,60,matt bianco,3.5288
2,61,talk talk,3.5105
2,62,prefab sprout,3.4983
2,63,enigma,3.4942
2,64,ryksopp,3.486
2,65,coldplay,3.4801
2,66,faithless,3.4544
2,67,madonna,3.4533
2,68,icehouse,3.4135
2,69,sade,3.3892
2,70,moby,3.3851
2,71,dido,3.3811
2,72,depeche mode,3.3767
2,73,caf del mar,3.3723
2,74,basia,3.3675
2,75,camouflage,3.3474
2,76,electronic,3.3453
2,77,george michael,3.3067
2,78,the adventures,3.3066
2,79,fiction factory,3.2858
2,80,groove armada,3.2828
2,81,portishead,3.2787
2,82,marc almond,3.2649
2,83,cock robin,3.2511
2,84,cut copy,3.2414
2,85,spandau ballet,3.2214
2,86,katie melua,3.2124
2,87,deacon blue,3.205
2,88,gorillaz,3.2037
2,89,lady gaga,3.1964
2,90,kosheen,3.1858
2,91,nik kershaw,3.1783
2,92,vitamin z,3.172
2,93,jean-michel jarre,3.1711
2,94,ministry of sound,3.163
2,95,simply red,3.1606
2,96,fleetwood mac,3.1554
2,97,duffy,3.1542
2,98,japan,3.153
2,99,inxs,3.1525
2,100,abc,3.1487
3,101,pleq,3.9116
3,102,segue,2.9217
3,103,max richter,2.8243
3,104,celer,2.7799
3,105,pjusk,2.7577
3,106,pleq & segue,2.7149
3,107,burial,2.6242
3,108,magnitophono,2.5811
3,109,andy graydon,2.5503
3,110,ddekombinacja,2.5503
3,111,pleq & anna rose carter,2.5457
3,112,go koyashiki,2.5148
3,113,dustin o'halloran,2.5044
3,114,offthesky,2.4671
3,115,nebulo,2.4592
3,116,fjordne,2.4405
3,117,pleq & chihiro,2.434
3,118,spyweirdos,2.4138
3,119,billy gomberg + offthesky,2.4138
3,120,deru,2.3719
3,121,lukid,2.3329
3,122,manekinekod,2.3239
3,123,danny norbury,2.3115
3,124,shinkei & mise en scene,2.2953
3,125,aslope,2.292
3,126,the notwist,2.2784
3,127,off the sky,2.2605
3,128,strom noir,2.2605
3,129,aless,2.2492
3,130,philippe lamy,2.2454
3,131,part timer,2.2415
3,132,deaf center,2.2376
3,133,lauki,2.2376
3,134,big brotherz,2.2131
3,135,cokiyu,2.2131
3,136,verbose,2.2088
3,137,worm is green,2.2045
3,138,library tapes,2.1911
3,139,richard skelton,2.1911
3,140,matryoshka,2.1866
3,141,aidan baker,2.1819
3,142,ylid,2.1819
3,143,daisuke miyatani,2.1819
3,144,dakota suite,2.1772
3,145,ryonkt,2.1725
3,146,hird,2.1676
3,147,svarte greiner,2.1676
3,148,the boats,2.1627
