artist_id,artist,url,musicnet_id
1,malice mizer,http://www.last.fm/music/MALICE+MIZER,
2,diary of dreams,http://www.last.fm/music/Diary+of+Dreams,
3,carpathian forest,http://www.last.fm/music/Carpathian+Forest,
4,moi dix mois,http://www.last.fm/music/Moi+dix+Mois,
5,bella morte,http://www.last.fm/music/Bella+Morte,
6,moonspell,http://www.last.fm/music/Moonspell,
7,marilyn manson,http://www.last.fm/music/Marilyn+Manson,
8,dir en grey,http://www.last.fm/music/DIR+EN+GREY,
9,combichrist,http://www.last.fm/music/Combichrist,
10,grendel,http://www.last.fm/music/Grendel,
11,agonoize,http://www.last.fm/music/Agonoize,
12,behemoth,http://www.last.fm/music/Behemoth,
13,hocico,http://www.last.fm/music/Hocico,
15,dimmu borgir,http://www.last.fm/music/Dimmu+Borgir,
16,london after midnight,http://www.last.fm/music/London+After+Midnight,
17,psyclon nine,http://www.last.fm/music/Psyclon+Nine,
18,the crxshadows,http://www.last.fm/music/The+Cr%C3%BCxshadows,
19,:wumpscut:,http://www.last.fm/music/%3Awumpscut%3A,
20,limbonic art,http://www.last.fm/music/Limbonic+Art,
21,artista sconosciuto,http://www.last.fm/music/Artista+sconosciuto,
22,xotox,http://www.last.fm/music/xotox,
23,the kovenant,http://www.last.fm/music/The+Kovenant,
24,feindflug,http://www.last.fm/music/Feindflug,
25,cradle of filth,http://www.last.fm/music/Cradle+of+Filth,
26,tamtrum,http://www.last.fm/music/Tamtrum,
27,laibach,http://www.last.fm/music/Laibach,
28,gorgoroth,http://www.last.fm/music/Gorgoroth,
30,and one,http://www.last.fm/music/And+One,
31,amduscia,http://www.last.fm/music/Amduscia,
32,covenant,http://www.last.fm/music/Covenant,
34,icon of coil,http://www.last.fm/music/Icon+of+Coil,
36,kmfdm,http://www.last.fm/music/KMFDM,
37,funker vogt,http://www.last.fm/music/Funker+Vogt,
38,dawn of ashes,http://www.last.fm/music/Dawn+of+Ashes,
39,sopor aeternus & the ensemble of shadows,http://www.last.fm/music/Sopor%2BAeternus%2B%2526%2BThe%2BEnsemble%2Bof%2BShadows,
40,the faint,http://www.last.fm/music/The+Faint,
41,god module,http://www.last.fm/music/God+Module,
43,noisuf-x,http://www.last.fm/music/Noisuf-X,
44,das ich,http://www.last.fm/music/Das+Ich,
45,mindless self indulgence,http://www.last.fm/music/Mindless+Self+Indulgence,
46,pyotr ilyich tchaikovsky,http://www.last.fm/music/Pyotr+Ilyich+Tchaikovsky,
47,emperor,http://www.last.fm/music/Emperor,
48,anorexia nervosa,http://www.last.fm/music/Anorexia+Nervosa,
49,reaper,http://www.last.fm/music/Reaper,
50,gothminister,http://www.last.fm/music/Gothminister,
51,duran duran,http://www.last.fm/music/Duran+Duran,
52,morcheeba,http://www.last.fm/music/Morcheeba,
53,air,http://www.last.fm/music/Air,
54,hooverphonic,http://www.last.fm/music/Hooverphonic,
55,kylie minogue,http://www.last.fm/music/Kylie+Minogue,
56,daft punk,http://www.last.fm/music/Daft+Punk,
57,thievery corporation,http://www.last.fm/music/Thievery+Corporation,
58,goldfrapp,http://www.last.fm/music/Goldfrapp,
59,new order,http://www.last.fm/music/New+Order,
60,matt bianco,http://www.last.fm/music/Matt+Bianco,
61,talk talk,http://www.last.fm/music/Talk+Talk,
62,prefab sprout,http://www.last.fm/music/Prefab+Sprout,
63,enigma,http://www.last.fm/music/Enigma,
64,ryksopp,http://www.last.fm/music/R%C3%B6yksopp,
65,coldplay,http://www.last.fm/music/Coldplay,
66,faithless,http://www.last.fm/music/Faithless,
67,madonna,http://www.last.fm/music/Madonna,
68,icehouse,http://www.last.fm/music/Icehouse,
69,sade,http://www.last.fm/music/Sade,
70,moby,http://www.last.fm/music/Moby,
71,dido,http://www.last.fm/music/Dido,
72,depeche mode,http://www.last.fm/music/Depeche+Mode,
73,caf del mar,http://www.last.fm/music/Caf%C3%A9+Del+Mar,
74,basia,http://www.last.fm/music/Basia,
75,camouflage,http://www.last.fm/music/Camouflage,
76,electronic,http://www.last.fm/music/Electronic,
77,george michael,http://www.last.fm/music/George+Michael,
78,the adventures,http://www.last.fm/music/The+Adventures,
79,fiction factory,http://www.last.fm/music/Fiction+Factory,
80,groove armada,http://www.last.fm/music/Groove+Armada,
81,portishead,http://www.last.fm/music/Portishead,
82,marc almond,http://www.last.fm/music/Marc+Almond,
83,cock robin,http://www.last.fm/music/Cock+Robin,
84,cut copy,http://www.last.fm/music/Cut+Copy,
85,spandau ballet,http://www.last.fm/music/Spandau+Ballet,
86,katie melua,http://www.last.fm/music/Katie+Melua,
87,deacon blue,http://www.last.fm/music/Deacon+Blue,
88,gorillaz,http://www.last.fm/music/Gorillaz,
89,lady gaga,http://www.last.fm/music/Lady+Gaga,
90,kosheen,http://www.last.fm/music/Kosheen,
91,nik kershaw,http://www.last.fm/music/Nik+Kershaw,
92,vitamin z,http://www.last.fm/music/Vitamin+Z,
93,jean-michel jarre,http://www.last.fm/music/Jean-Michel+Jarre,
94,ministry of sound,http://www.last.fm/music/Ministry+of+Sound,
95,simply red,http://www.last.fm/music/Simply+Red,
96,fleetwood mac,http://www.last.fm/music/Fleetwood+Mac,
97,duffy,http://www.last.fm/music/Duffy,
98,japan,http://www.last.fm/music/Japan,
99,inxs,http://www.last.fm/music/INXS,
100,abc,http://www.last.fm/music/ABC,
101,pleq,http://www.last.fm/music/Pleq,
102,segue,http://www.last.fm/music/Segue,
103,max richter,http://www.last.fm/music/Max+Richter,
104,celer,http://www.last.fm/music/Celer,
105,pjusk,http://www.last.fm/music/Pjusk,
106,pleq & segue,http://www.last.fm/music/Pleq%2B%2526%2BSegue,
107,burial,http://www.last.fm/music/Burial,
108,magnitophono,http://www.last.fm/music/Magnitophono,
109,andy graydon,http://www.last.fm/music/andy+graydon,
110,ddekombinacja,http://www.last.fm/music/ddekombinacja,
111,pleq & anna rose carter,http://www.last.fm/music/+noredirect/Pleq%2B%2526%2BAnna%2BRose%2BCarter,
112,go koyashiki,http://www.last.fm/music/Go+Koyashiki,
113,dustin o'halloran,http://www.last.fm/music/Dustin+O%27Halloran,
114,offthesky,http://www.last.fm/music/offthesky,
115,nebulo,http://www.last.fm/music/Nebulo,
116,fjordne,http://www.last.fm/music/Fjordne,
117,pleq & chihiro,http://www.last.fm/music/Pleq%2B%2526%2BChihiro,
118,spyweirdos,http://www.last.fm/music/Spyweirdos,
119,billy gomberg + offthesky,http://www.last.fm/music/+noredirect/billy%2Bgomberg%2B%252B%2Boffthesky,
120,deru,http://www.last.fm/music/Deru,
121,lukid,http://www.last.fm/music/Lukid,
122,manekinekod,http://www.last.fm/music/Manekinekod,
123,danny norbury,http://www.last.fm/music/Danny+Norbury,
124,shinkei & mise en scene,http://www.last.fm/music/Shinkei%2B%2526%2BMise%2BEn%2BScene,
125,aslope,http://www.last.fm/music/aslope,
126,the notwist,http://www.last.fm/music/The+Notwist,
127,off the sky,http://www.last.fm/music/Off+the+Sky,
128,strom noir,http://www.last.fm/music/strom+noir,
129,aless,http://www.last.fm/music/Aless,
130,philippe lamy,http://www.last.fm/music/Philippe+Lamy,
131,part timer,http://www.last.fm/music/Part+Timer,
132,deaf center,http://www.last.fm/music/Deaf+Center,
133,lauki,http://www.last.fm/music/Lauki,
134,big brotherz,http://www.last.fm/music/Big+Brotherz,
135,cokiyu,http://www.last.fm/music/cokiyu,
136,verbose,http://www.last.fm/music/Verbose,
137,worm is green,http://www.last.fm/music/Worm+Is+Green,
138,library tapes,http://www.last.fm/music/Library+Tapes,
139,richard skelton,http://www.last.fm/music/Richard+Skelton,
140,matryoshka,http://www.last.fm/music/Matryoshka,
141,aidan baker,http://www.last.fm/music/Aidan+Baker,
142,ylid,http://www.last.fm/music/Ylid,
143,daisuke miyatani,http://www.last.fm/music/Daisuke+Miyatani,
144,dakota suite,http://www.last.fm/music/Dakota+Suite,
145,ryonkt,http://www.last.fm/music/Ryonkt,
146,hird,http://www.last.fm/music/Hird,
147,svarte greiner,http://www.last.fm/music/Svarte+Greiner,
148,the boats,http://www.last.fm/music/The+Boats,
149,the sound of lucrecia,http://www.last.fm/music/The+Sound+Of+Lucrecia,
150,porzellan,http://www.last.fm/music/Porzellan,
151,deep forest,http://www.last.fm/music/Deep+Forest,
152,porcupine tree,http://www.last.fm/music/Porcupine+Tree,
153,de/vision,http://www.last.fm/music/De%252FVision,
154,radiohead,http://www.last.fm/music/Radiohead,
155,robbie williams,http://www.last.fm/music/Robbie+Williams,
156,vast,http://www.last.fm/music/VAST,
157,michael jackson,http://www.last.fm/music/Michael+Jackson,
158, ,http://www.last.fm/music/%D7%A2%D7%91%D7%A8%D7%99+%D7%9C%D7%99%D7%93%D7%A8,
159,the cure,http://www.last.fm/music/The+Cure,
160, ,http://www.last.fm/music/%D7%90%D7%91%D7%99%D7%91+%D7%92%D7%A4%D7%9F,
161,enrique iglesias,http://www.last.fm/music/Enrique+Iglesias,
162,god is an astronaut,http://www.last.fm/music/God+Is+an+Astronaut,
163,pink floyd,http://www.last.fm/music/Pink+Floyd,
164, ,http://www.last.fm/music/%D7%99%D7%95%D7%A0%D7%99+%D7%91%D7%9C%D7%95%D7%9A,
165,planet funk,http://www.last.fm/music/Planet+Funk,
166,the cranberries,http://www.last.fm/music/The+Cranberries,
167,scissor sisters,http://www.last.fm/music/Scissor+Sisters,
168, ,http://www.last.fm/music/%D7%93%D7%A0%D7%99%D7%90%D7%9C+%D7%A1%D7%9C%D7%95%D7%9E%D7%95%D7%9F,
169, ,http://www.last.fm/music/%D7%90%D7%91%D7%99%D7%AA%D7%A8+%D7%91%D7%A0%D7%90%D7%99,
170,mew,http://www.last.fm/music/Mew,
171,stereophonics,http://www.last.fm/music/Stereophonics,
172,garbage,http://www.last.fm/music/Garbage,
173,placebo,http://www.last.fm/music/Placebo,
174,infected mushroom,http://www.last.fm/music/Infected+Mushroom,
175,delerium,http://www.last.fm/music/Delerium,
176,scorpions,http://www.last.fm/music/Scorpions,
177,rock star supernova,http://www.last.fm/music/Rock+Star+Supernova,
178,dolores o'riordan,http://www.last.fm/music/Dolores+O%27Riordan,
179,tommy lee,http://www.last.fm/music/Tommy+Lee,
180,roxette,http://www.last.fm/music/Roxette,
181,paradise lost,http://www.last.fm/music/Paradise+Lost,
182,keane,http://www.last.fm/music/Keane,
183,jamiroquai,http://www.last.fm/music/Jamiroquai,
184,james blunt,http://www.last.fm/music/James+Blunt,
185,reamonn,http://www.last.fm/music/Reamonn,
186,blackfield,http://www.last.fm/music/Blackfield,
187,a-ha,http://www.last.fm/music/a-ha,
188,opeth,http://www.last.fm/music/Opeth,
189,poets of the fall,http://www.last.fm/music/Poets+of+the+Fall,
190,muse,http://www.last.fm/music/Muse,
191,onerepublic,http://www.last.fm/music/OneRepublic,
192,elton john,http://www.last.fm/music/Elton+John,
193,tears for fears,http://www.last.fm/music/Tears+for+Fears,
194,the tiger lillies,http://www.last.fm/music/The+Tiger+Lillies,
195,bright eyes,http://www.last.fm/music/Bright+Eyes,
196,beirut,http://www.last.fm/music/Beirut,
197,tom waits,http://www.last.fm/music/Tom+Waits,
198,system of a down,http://www.last.fm/music/System+of+a+Down,
199,arcade fire,http://www.last.fm/music/Arcade+Fire,
200,gogol bordello,http://www.last.fm/music/Gogol+Bordello,
201,,http://www.last.fm/music/%D0%9B%D0%B5%D0%BD%D0%B8%D0%BD%D0%B3%D1%80%D0%B0%D0%B4,
202,cake,http://www.last.fm/music/CAKE,
203,blur,http://www.last.fm/music/Blur,
204,damien rice,http://www.last.fm/music/Damien+Rice,
205,andrew bird,http://www.last.fm/music/Andrew+Bird,
206,beck,http://www.last.fm/music/Beck,
