user_id,rank,track_id,artist,predicted_rating
2,1,13558,the lightning seeds,5.0
2,2,17792,the beatmasters,5.0
2,3,17793,tin tin out,5.0
2,4,10622,welle:erdball,5.0
2,5,10623,beverly kenney,5.0
2,6,14631,lorraine,5.0
2,7,17796,data 80,5.0
2,8,5255,the go-go's,5.0
2,9,17799,s'express,5.0
2,10,17795,the surf coasters,5.0
1376,1,6373,tyler adam,3.55
1376,2,18121,rytmus,3.441
1376,3,6553,darkbuster,3.379
1376,4,15347,shannon noll,3.361
1376,5,3612,bell x1,3.276
1376,6,15927,marcelo adnet,3.265
1376,7,6696,mara maravilha,3.249
1376,8,18122,kontrafakt,3.182
1376,9,17899,day26,3.182
1376,10,9665,flotation toy warning,3.167
1388,1,18121,rytmus,3.47
1388,2,8366,holdcut,3.43
1388,3,6373,tyler adam,3.377
1388,4,8367,emf,3.367
1388,5,15927,marcelo adnet,3.333
1388,6,14987,richard dixon-composer,3.312
1388,7,9665,flotation toy warning,3.31
1388,8,14631,lorraine,3.305
1388,9,5255,the go-go's,3.268
1388,10,5464,joe brooks,3.262
1387,1,6373,tyler adam,4.042
1387,2,18121,rytmus,4.005
1387,3,14986,dicky dixon,3.813
1387,4,14987,richard dixon-composer,3.789
1387,5,18122,kontrafakt,3.746
1387,6,15075,80kidz,3.734
1387,7,8366,holdcut,3.711
1387,8,4625,tribraco,3.711
1387,9,3947,dj bobo,3.681
1387,10,8367,emf,3.672
1386,1,6373,tyler adam,4.02
1386,2,18121,rytmus,3.956
1386,3,14986,dicky dixon,3.813
1386,4,14987,richard dixon-composer,3.797
1386,5,15075,80kidz,3.751
1386,6,9665,flotation toy warning,3.719
1386,7,8366,holdcut,3.706
1386,8,4625,tribraco,3.704
1386,9,18122,kontrafakt,3.697
1386,10,2479,twiztid,3.693
